"","pm.id","pm.uid","pm.type","ncaa_id","team","season","division","jersey","name","position","height","class","major","hometown","homestate","high_school","previous_school","url","hometown_cleaned","pm.address","pm.state","country","temp","Continent","Region"
"1",7,7,"unknown",14,"Albany",2024,"I","6","Elias Ehlin","Midfield","6'0""","Gr.",NA,"Kalmar"," Sweden",NA,"USC Upstate","https://www.ualbanysports.com/sports/mens-soccer/roster/elias-ehlin/10340","KALMAR, SWEDEN","KALMAR SWEDEN",NA,"SWEDEN","SWEDEN","Europe","Northern Europe"
"2",8,8,"unknown",14,"Albany",2024,"I","7","Ivar Orri Gissurarson","Midfield","6'5""","So.",NA,"Reykjavik"," Iceland",NA,NA,"https://www.ualbanysports.com/sports/mens-soccer/roster/ivar-orri-gissurarson/10343","REYKJAVIK, ICELAND","REYKJAVIK ICELAND",NA,"ICELAND","ICELAND","Europe","Northern Europe"
"3",10,10,"unknown",14,"Albany",2024,"I","9","Ander Castillo","Forward","6'0""","Sr.",NA,"Bilbao"," Spain",NA,"Medaille","https://www.ualbanysports.com/sports/mens-soccer/roster/ander-castillo/10338","BILBAO, SPAIN","BILBAO SPAIN",NA,"SPAIN","SPAIN","Europe","Southern Europe"
"4",18,18,"unknown",14,"Albany",2024,"I","17","Edis Alic","Defense","6'2""","So.",NA,"Vaxjo"," Sweden",NA,"Northern Kentucky","https://www.ualbanysports.com/sports/mens-soccer/roster/edis-alic/10362","VAXJO, SWEDEN","VAXJO SWEDEN",NA,"SWEDEN","SWEDEN","Europe","Northern Europe"
"5",20,20,"unknown",14,"Albany",2024,"I","19","Timo Jansen","Midfield","5'8""","Jr.",NA,"Amsterdam"," Netherlands",NA,"Santa Barbara CC","https://www.ualbanysports.com/sports/mens-soccer/roster/timo-jansen/10345","AMSTERDAM, NETHERLANDS","AMSTERDAM NETHERLANDS",NA,"NETHERLANDS","NETHERLANDS","Europe","Western Europe"
"6",23,23,"unknown",14,"Albany",2024,"I","22","Christos Efstathiou","Defense","6'1""","So.",NA,"Limassol"," Cyprus",NA,"CIM-Cyprus Business School","https://www.ualbanysports.com/sports/mens-soccer/roster/christos-efstathiou/10359","LIMASSOL, CYPRUS","LIMASSOL CYPRUS",NA,"CYPRUS","CYPRUS","Europe","Southern Europe"
"7",27,27,"unknown",14,"Albany",2024,"I","26","Lovro Horvat","Defense","6'2""","Sr.",NA,"Bjelovar"," Croatia",NA,NA,"https://www.ualbanysports.com/sports/mens-soccer/roster/lovro-horvat/10344","BJELOVAR, CROATIA","BJELOVAR CROATIA",NA,"CROATIA","CROATIA","Europe","Southern Europe"
"8",39,39,"unknown",23,"American",2024,"I","8","Tim Schliemann",NA,"5'10""","Jr.",NA,"Berlin"," Germany",NA,NA,"https://www.aueagles.com/sports/mens-soccer/roster/tim-schliemann/6686","BERLIN, GERMANY","BERLIN GERMANY",NA,"GERMANY","GERMANY","Europe","Eastern Europe"
"9",72,72,"unknown",52,"Bellarmine",2024,"I","11","Johan Nissen-Lie","Forward","6'3""","Fr.",NA,"Asker"," Norway","Donski Videregaende Skole",NA,"https://www.bellarmine.edu/sports/mens-soccer/roster/johan-nissen-lie/9049","ASKER, NORWAY","ASKER NORWAY",NA,"NORWAY","NORWAY","Europe","Northern Europe"
"10",78,77,"unknown",52,"Bellarmine",2024,"I","17","Nore Sumner","Defender","6'2""","R-Fr.",NA,"Angelholm"," Sweden","Ängelholms Gymnasieskola",NA,"https://www.bellarmine.edu/sports/mens-soccer/roster/nore-sumner/8870","ANGELHOLM, SWEDEN","ANGELHOLM SWEDEN",NA,"SWEDEN","SWEDEN","Europe","Northern Europe"
"11",80,79,"unknown",52,"Bellarmine",2024,"I","19","Calle Sjoberg","Midfielder","6'0""","R-So.",NA,"Vaermdoe"," Sweden","Sjölins Gymnasium Södermalm",NA,"https://www.bellarmine.edu/sports/mens-soccer/roster/calle-sjoberg/8869","VAERMDOE, SWEDEN","VAERMDOE SWEDEN",NA,"SWEDEN","SWEDEN","Europe","Northern Europe"
